,Product URL,Image URL,Freeship,Product ID,Name,Price,Discount Percentage,Rating,Reviews,Badge Under Price,Paid by Installments,Free Gifts
2836,https://tiki.vn/tam-hat-sang-hinh-tron-5-in-1-80cm-hang-nhap-khau-p14241266.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/3f/3b/a6/79874945e4d58db330491b4b98df51e2.jpg,No,14241266,Tấm Hắt Sáng Hình Tròn 5 In 1 (80cm) - Hàng Nhập Khẩu,189000,37,90,2,No,No,No
2837,https://tiki.vn/camera-giam-sat-ngoai-troi-blurams-outdoor-pro-a21c-hang-chinh-hang-p51419584.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/9c/cd/6d/549db9d7662569b4a2ac15cbbeb416c1.png,No,51419584,Camera giám sát ngoài trời Blurams Outdoor  Pro A21C - Hàng chính hãng,1590000,14,86,3,No,No,No
2838,https://tiki.vn/kinh-loc-filter-marumi-fit-slim-lens-protect-62mm-hang-nhap-khau-p5895565.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,5895565,Kính Lọc Filter Marumi Fit & Slim Lens Protect 62mm - Hàng Nhập Khẩu,325888,41,100,1,No,No,No
2839,https://tiki.vn/cap-ket-noi-usb-cho-may-anh-hang-nhap-khau-p42765293.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/aa/22/3e/eb4f51ef55f0f6bbe2912109b23767f3.jpg,No,42765293,Cáp kết nối USB cho máy ảnh - Hàng nhập khẩu ,30000,57,90,2,No,No,No
2840,https://tiki.vn/hop-chup-san-pham-co-led-40x40cm-p54654279.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/4d/f1/d1/9dcc2483839519b6a6e9ea850db055d3.jpg,No,54654279,HỘP CHỤP SẢN PHẨM CÓ LED 40X40CM,394000,47,0,0,No,No,No
2841,https://tiki.vn/camera-quan-sat-cvi-dahua-hac-hfw1000sp-s3-hang-chinh-hang-p1342413.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,1342413,Camera Quan Sát CVI Dahua HAC-HFW1000SP-S3 - Hàng Chính Hãng,410000,56,0,0,No,No,No
2842,https://tiki.vn/kinh-thien-van-khuc-xa-celestron-powerseeker-50f600az-hang-nhap-khau-p16256035.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/78/5c/48/01fae9183bcbeca48c743aeae0741a76.PNG,No,16256035, kính thiên văn khúc xạ Celestron PowerSeeker 50f600AZ (hàng nhập khẩu),1750000,3,0,0,No,No,No
2843,https://tiki.vn/den-quay-phim-spotlight-red-800w-p14333831.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/ba/a7/a7/e59c89d6ce2360a05bf6673b2e156a53.jpg,No,14333831,Đèn Quay Phim Spotlight Red 800W,1020000,0,0,0,No,No,No
2844,https://tiki.vn/tang-the-nho-16g-camera-vitacam-vb720pro-hang-chinh-hang-p22010149.html?src=ss-organic,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,Yes,22010149,[TẶNG THẺ NHỚ 16G] CAMERA VITACAM VB720PRO - Hàng chính hãng,880000,12,0,0,No,No,No
2845,https://tiki.vn/balo-may-anh-thinktank-phototurnstyle-20-v2-0-charcoal-hang-chinh-hang-p20689534.html?src=ss-organic,https://salt.tikicdn.com/cache/280x280/ts/product/57/2a/84/e875911abae050f663f0a589acd12110.jpg,No,20689534,Balo máy ảnh ThinkTank PhotoTurnstyle 20 V2.0 Charcoal - Hàng Chính Hãng,1490000,35,100,1,No,No,No
